# started on Fri Apr  3 18:43:37 2026

#           time             counts   unit events
     1.001086410              96.10 Joules power/energy-pkg/                                                     
     2.002705100             102.45 Joules power/energy-pkg/                                                     
     3.005899983             102.16 Joules power/energy-pkg/                                                     
     4.007228944              92.35 Joules power/energy-pkg/                                                     
     5.007732236              94.46 Joules power/energy-pkg/                                                     
     6.009050680              95.07 Joules power/energy-pkg/                                                     
     7.010384209              94.03 Joules power/energy-pkg/                                                     
     8.011759386              91.70 Joules power/energy-pkg/                                                     
     9.013082107              91.29 Joules power/energy-pkg/                                                     
    10.014406001              90.85 Joules power/energy-pkg/                                                     
    11.015735644              93.22 Joules power/energy-pkg/                                                     
    12.016741957              94.62 Joules power/energy-pkg/                                                     
    13.018738904              94.05 Joules power/energy-pkg/                                                     
    14.019740425              96.39 Joules power/energy-pkg/                                                     
    15.020745005              93.43 Joules power/energy-pkg/                                                     
    16.021735877              94.00 Joules power/energy-pkg/                                                     
    17.023066563              97.77 Joules power/energy-pkg/                                                     
    18.024391018              89.05 Joules power/energy-pkg/                                                     
    19.025699253              89.65 Joules power/energy-pkg/                                                     
    20.026998666              89.81 Joules power/energy-pkg/                                                     
    21.028317061              90.12 Joules power/energy-pkg/                                                     
    22.029590644              90.03 Joules power/energy-pkg/                                                     
    23.030911304              87.94 Joules power/energy-pkg/                                                     
    24.032230521              91.90 Joules power/energy-pkg/                                                     
    25.033554066              92.47 Joules power/energy-pkg/                                                     
    26.034873940              91.73 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.036175493              89.46 Joules power/energy-pkg/                                                     
    28.036691669              87.28 Joules power/energy-pkg/                                                     
    29.037677429              88.97 Joules power/energy-pkg/                                                     
    30.038946643              89.71 Joules power/energy-pkg/                                                     
    31.040240821              89.36 Joules power/energy-pkg/                                                     
    32.043695905              88.40 Joules power/energy-pkg/                                                     
    33.045864704              88.26 Joules power/energy-pkg/                                                     
    34.049870771              88.76 Joules power/energy-pkg/                                                     
    35.051698678              89.52 Joules power/energy-pkg/                                                     
    36.053905303              90.51 Joules power/energy-pkg/                                                     
    37.054720255              93.31 Joules power/energy-pkg/                                                     
