# started on Fri Apr  3 18:58:14 2026

#           time             counts   unit events
     1.000388708              93.29 Joules power/energy-pkg/                                                     
     2.001670850              98.63 Joules power/energy-pkg/                                                     
     3.084080270             105.35 Joules power/energy-pkg/                                                     
     4.085408924              88.22 Joules power/energy-pkg/                                                     
     5.086728939              88.63 Joules power/energy-pkg/                                                     
     6.087995318              89.53 Joules power/energy-pkg/                                                     
     7.089281746              90.56 Joules power/energy-pkg/                                                     
     8.090580279              90.60 Joules power/energy-pkg/                                                     
     9.091645612              94.03 Joules power/energy-pkg/                                                     
    10.092913247              94.18 Joules power/energy-pkg/                                                     
    11.094200210              94.24 Joules power/energy-pkg/                                                     
    12.094632570              97.36 Joules power/energy-pkg/                                                     
    13.263917139             112.24 Joules power/energy-pkg/                                                     
    14.264658277              98.44 Joules power/energy-pkg/                                                     
    15.267740337              98.71 Joules power/energy-pkg/                                                     
    16.268688547              98.22 Joules power/energy-pkg/                                                     
    17.272667108              96.43 Joules power/energy-pkg/                                                     
    18.274656484              98.56 Joules power/energy-pkg/                                                     
    19.277685750              98.96 Joules power/energy-pkg/                                                     
    20.280679353              99.31 Joules power/energy-pkg/                                                     
    21.284685329              97.39 Joules power/energy-pkg/                                                     
    22.287740956              94.69 Joules power/energy-pkg/                                                     
    23.289008005              98.28 Joules power/energy-pkg/                                                     
    24.289671367             102.69 Joules power/energy-pkg/                                                     
    25.290950280             103.20 Joules power/energy-pkg/                                                     
    26.292247195             100.33 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.292681196              98.47 Joules power/energy-pkg/                                                     
    28.326033591              99.45 Joules power/energy-pkg/                                                     
    29.329683173              98.90 Joules power/energy-pkg/                                                     
    30.331684447              98.62 Joules power/energy-pkg/                                                     
    31.333672309              98.66 Joules power/energy-pkg/                                                     
    32.336640041              97.21 Joules power/energy-pkg/                                                     
    33.337881984              96.93 Joules power/energy-pkg/                                                     
    34.339113560              96.66 Joules power/energy-pkg/                                                     
    35.339542144              96.66 Joules power/energy-pkg/                                                     
    36.340524273              97.53 Joules power/energy-pkg/                                                     
    37.341807638              93.37 Joules power/energy-pkg/                                                     
    38.343044818              97.27 Joules power/energy-pkg/                                                     
    39.343646142              97.38 Joules power/energy-pkg/                                                     
    40.344891656              92.92 Joules power/energy-pkg/                                                     
    41.345847811              92.80 Joules power/energy-pkg/                                                     
    42.347099028              90.09 Joules power/energy-pkg/                                                     
    43.389265417              97.71 Joules power/energy-pkg/                                                     
    44.390584559              94.09 Joules power/energy-pkg/                                                     
    45.391874148              93.46 Joules power/energy-pkg/                                                     
    46.393157988              94.12 Joules power/energy-pkg/                                                     
    47.393646751              93.24 Joules power/energy-pkg/                                                     
    48.394654563             100.51 Joules power/energy-pkg/                                                     
    49.396662315              99.84 Joules power/energy-pkg/                                                     
    50.398022057             102.15 Joules power/energy-pkg/                                                     
    51.401670674              99.08 Joules power/energy-pkg/                                                     
    52.402940237              94.54 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    53.521492512             113.11 Joules power/energy-pkg/                                                     
    54.522775854             102.09 Joules power/energy-pkg/                                                     
    55.524032200             103.06 Joules power/energy-pkg/                                                     
    56.524639788             101.97 Joules power/energy-pkg/                                                     
    57.527630074              96.14 Joules power/energy-pkg/                                                     
    58.528914852              98.68 Joules power/energy-pkg/                                                     
    59.530213201              97.96 Joules power/energy-pkg/                                                     
    60.530678414              97.61 Joules power/energy-pkg/                                                     
