# started on Fri Apr  3 18:31:00 2026

#           time             counts   unit events
     1.001064301              94.94 Joules power/energy-pkg/                                                     
     2.002092874              98.19 Joules power/energy-pkg/                                                     
     3.004109505              95.83 Joules power/energy-pkg/                                                     
     4.005111266              92.08 Joules power/energy-pkg/                                                     
     5.006379327              94.73 Joules power/energy-pkg/                                                     
     6.007663945              91.63 Joules power/energy-pkg/                                                     
     7.008052239              91.12 Joules power/energy-pkg/                                                     
     8.009339796              92.29 Joules power/energy-pkg/                                                     
     9.010657935              91.10 Joules power/energy-pkg/                                                     
    10.011924824              90.60 Joules power/energy-pkg/                                                     
    11.013253296              90.20 Joules power/energy-pkg/                                                     
    12.014555936              89.44 Joules power/energy-pkg/                                                     
    13.015805786              87.59 Joules power/energy-pkg/                                                     
    14.017053275              89.95 Joules power/energy-pkg/                                                     
    15.018310974              92.43 Joules power/energy-pkg/                                                     
    16.019562785              91.83 Joules power/energy-pkg/                                                     
    17.020827269              91.56 Joules power/energy-pkg/                                                     
    18.022122833              89.45 Joules power/energy-pkg/                                                     
    19.023392898              91.68 Joules power/energy-pkg/                                                     
    20.024685433              92.33 Joules power/energy-pkg/                                                     
    21.025085038              92.03 Joules power/energy-pkg/                                                     
    22.027433669              92.84 Joules power/energy-pkg/                                                     
    23.028707105              91.63 Joules power/energy-pkg/                                                     
    24.029104571              97.26 Joules power/energy-pkg/                                                     
    25.032105675              97.11 Joules power/energy-pkg/                                                     
    26.033104253              97.87 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.034114815              95.04 Joules power/energy-pkg/                                                     
    28.035084040              93.50 Joules power/energy-pkg/                                                     
    29.038154757              94.34 Joules power/energy-pkg/                                                     
    30.039404877              93.92 Joules power/energy-pkg/                                                     
    31.040654174              92.66 Joules power/energy-pkg/                                                     
    32.041927665              92.45 Joules power/energy-pkg/                                                     
    33.043223805              91.87 Joules power/energy-pkg/                                                     
    34.044058199              93.44 Joules power/energy-pkg/                                                     
    35.045318376              94.84 Joules power/energy-pkg/                                                     
    36.046092826              93.13 Joules power/energy-pkg/                                                     
    37.049391182              93.04 Joules power/energy-pkg/                                                     
    38.050696892              95.38 Joules power/energy-pkg/                                                     
    39.051957180              91.34 Joules power/energy-pkg/                                                     
    40.053235654              89.57 Joules power/energy-pkg/                                                     
    41.054066607              90.47 Joules power/energy-pkg/                                                     
    42.057189139              86.31 Joules power/energy-pkg/                                                     
    43.060950143              86.54 Joules power/energy-pkg/                                                     
    44.062256981              94.67 Joules power/energy-pkg/                                                     
    45.063517351              90.39 Joules power/energy-pkg/                                                     
    46.064801080              91.33 Joules power/energy-pkg/                                                     
    47.066115219              90.47 Joules power/energy-pkg/                                                     
    48.067363752              93.13 Joules power/energy-pkg/                                                     
    49.068692304              97.16 Joules power/energy-pkg/                                                     
    50.069987459              92.91 Joules power/energy-pkg/                                                     
    51.071272503              90.91 Joules power/energy-pkg/                                                     
    52.072564699              91.34 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    53.073871829              89.91 Joules power/energy-pkg/                                                     
    54.075110267             101.26 Joules power/energy-pkg/                                                     
    55.079090149             101.00 Joules power/energy-pkg/                                                     
    56.083104029             102.31 Joules power/energy-pkg/                                                     
    57.086104175              93.50 Joules power/energy-pkg/                                                     
    58.087104086              88.33 Joules power/energy-pkg/                                                     
    59.088100736              92.54 Joules power/energy-pkg/                                                     
    60.089098477              96.69 Joules power/energy-pkg/                                                     
    61.090104932              96.84 Joules power/energy-pkg/                                                     
    62.091109583              91.50 Joules power/energy-pkg/                                                     
    63.092443400              87.30 Joules power/energy-pkg/                                                     
    64.096112592              89.12 Joules power/energy-pkg/                                                     
    65.097086468              89.85 Joules power/energy-pkg/                                                     
    66.098106721              92.87 Joules power/energy-pkg/                                                     
    67.099059749              95.55 Joules power/energy-pkg/                                                     
    68.100139273              92.02 Joules power/energy-pkg/                                                     
    69.102103733              94.28 Joules power/energy-pkg/                                                     
    70.103104348              95.10 Joules power/energy-pkg/                                                     
    71.104102110              95.13 Joules power/energy-pkg/                                                     
    72.105099721              94.89 Joules power/energy-pkg/                                                     
    73.106101379              96.88 Joules power/energy-pkg/                                                     
    74.108065547              98.03 Joules power/energy-pkg/                                                     
    75.109103369              98.02 Joules power/energy-pkg/                                                     
    76.110101811              97.77 Joules power/energy-pkg/                                                     
    77.111094827              98.62 Joules power/energy-pkg/                                                     
    78.112100934              97.45 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    79.117102655              98.59 Joules power/energy-pkg/                                                     
    80.118105347              98.19 Joules power/energy-pkg/                                                     
    81.119103311              98.37 Joules power/energy-pkg/                                                     
    82.120104289              97.73 Joules power/energy-pkg/                                                     
    83.121082203              97.19 Joules power/energy-pkg/                                                     
    84.122103417              99.46 Joules power/energy-pkg/                                                     
    85.123073221              99.49 Joules power/energy-pkg/                                                     
    86.124100465              99.60 Joules power/energy-pkg/                                                     
    87.125375557              99.18 Joules power/energy-pkg/                                                     
    88.271098537             111.62 Joules power/energy-pkg/                                                     
    89.272073313              98.38 Joules power/energy-pkg/                                                     
    90.273348659              99.32 Joules power/energy-pkg/                                                     
    91.274598167              96.95 Joules power/energy-pkg/                                                     
    92.275882108              96.02 Joules power/energy-pkg/                                                     
    93.313551850             100.69 Joules power/energy-pkg/                                                     
    94.314059668              97.03 Joules power/energy-pkg/                                                     
    95.315062364              98.07 Joules power/energy-pkg/                                                     
    96.316050994              99.27 Joules power/energy-pkg/                                                     
    97.317317214              96.90 Joules power/energy-pkg/                                                     
    98.318593760              97.82 Joules power/energy-pkg/                                                     
    99.319062740              96.08 Joules power/energy-pkg/                                                     
   100.320354051              97.81 Joules power/energy-pkg/                                                     
   101.321059533              97.70 Joules power/energy-pkg/                                                     
   102.322057674              94.41 Joules power/energy-pkg/                                                     
   103.323339350              97.72 Joules power/energy-pkg/                                                     
   104.324091571              99.35 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   105.325367068              98.68 Joules power/energy-pkg/                                                     
   106.326658158              98.13 Joules power/energy-pkg/                                                     
   107.327983547              97.32 Joules power/energy-pkg/                                                     
   108.329271676              98.61 Joules power/energy-pkg/                                                     
   109.329914818              96.69 Joules power/energy-pkg/                                                     
   110.331294828              96.79 Joules power/energy-pkg/                                                     
   111.332088343              97.76 Joules power/energy-pkg/                                                     
   112.336102574              98.65 Joules power/energy-pkg/                                                     
   113.397051533             106.42 Joules power/energy-pkg/                                                     
   114.398108993             100.75 Joules power/energy-pkg/                                                     
   115.399377238              99.45 Joules power/energy-pkg/                                                     
   116.400654120              98.11 Joules power/energy-pkg/                                                     
   117.401939706              95.83 Joules power/energy-pkg/                                                     
   118.403236159              98.51 Joules power/energy-pkg/                                                     
   119.404068777              99.94 Joules power/energy-pkg/                                                     
   120.408176798             100.81 Joules power/energy-pkg/                                                     
   121.409433509             100.81 Joules power/energy-pkg/                                                     
   122.410105777             100.21 Joules power/energy-pkg/                                                     
   123.413080851             105.79 Joules power/energy-pkg/                                                     
   124.414096851             106.45 Joules power/energy-pkg/                                                     
   125.415086145             105.74 Joules power/energy-pkg/                                                     
   126.416112269             104.94 Joules power/energy-pkg/                                                     
   127.417106691             104.38 Joules power/energy-pkg/                                                     
   128.422480825             107.33 Joules power/energy-pkg/                                                     
   129.423087662             105.35 Joules power/energy-pkg/                                                     
   130.424108156             101.29 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   131.425110015             100.18 Joules power/energy-pkg/                                                     
   132.426378709              99.66 Joules power/energy-pkg/                                                     
   133.427072143              97.67 Joules power/energy-pkg/                                                     
   134.429094432              99.93 Joules power/energy-pkg/                                                     
   135.430068265              99.79 Joules power/energy-pkg/                                                     
   136.431091959             100.01 Joules power/energy-pkg/                                                     
   137.432090281             100.13 Joules power/energy-pkg/                                                     
   138.433065741             102.44 Joules power/energy-pkg/                                                     
   139.434091434             103.48 Joules power/energy-pkg/                                                     
   140.435068731             104.04 Joules power/energy-pkg/                                                     
   141.436071150             105.29 Joules power/energy-pkg/                                                     
   142.440098841             103.32 Joules power/energy-pkg/                                                     
   143.441091186             103.68 Joules power/energy-pkg/                                                     
   144.442071734             103.92 Joules power/energy-pkg/                                                     
   145.443101343             103.99 Joules power/energy-pkg/                                                     
   146.444096105             104.70 Joules power/energy-pkg/                                                     
   147.445093603             105.01 Joules power/energy-pkg/                                                     
   148.447061931             101.70 Joules power/energy-pkg/                                                     
   149.448099686             101.74 Joules power/energy-pkg/                                                     
   150.449071129             102.41 Joules power/energy-pkg/                                                     
   151.450075316             101.94 Joules power/energy-pkg/                                                     
   152.451100953             101.69 Joules power/energy-pkg/                                                     
   153.452094798             102.66 Joules power/energy-pkg/                                                     
   154.453094934             100.69 Joules power/energy-pkg/                                                     
   155.454106889             100.20 Joules power/energy-pkg/                                                     
   156.455101737              99.86 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   157.456080200             103.27 Joules power/energy-pkg/                                                     
   158.457106976             101.30 Joules power/energy-pkg/                                                     
   159.458074121             102.29 Joules power/energy-pkg/                                                     
   160.459097716             104.23 Joules power/energy-pkg/                                                     
   161.460097756             101.94 Joules power/energy-pkg/                                                     
   162.461069685              97.89 Joules power/energy-pkg/                                                     
   163.462064807             100.34 Joules power/energy-pkg/                                                     
