# started on Fri Apr  3 18:45:35 2026

#           time             counts   unit events
     1.000690426              98.75 Joules power/energy-pkg/                                                     
     2.002283486              99.45 Joules power/energy-pkg/                                                     
     3.006697788             104.47 Joules power/energy-pkg/                                                     
     4.007693524              95.09 Joules power/energy-pkg/                                                     
     5.008700335              95.07 Joules power/energy-pkg/                                                     
     6.009695239              95.35 Joules power/energy-pkg/                                                     
     7.010697773              92.48 Joules power/energy-pkg/                                                     
     8.011695970              95.33 Joules power/energy-pkg/                                                     
     9.012668050              95.06 Joules power/energy-pkg/                                                     
    10.013712194              93.51 Joules power/energy-pkg/                                                     
    11.016711257              89.83 Joules power/energy-pkg/                                                     
    12.017711512              87.18 Joules power/energy-pkg/                                                     
    13.018716517              89.80 Joules power/energy-pkg/                                                     
    14.022693367              92.69 Joules power/energy-pkg/                                                     
    15.023690161              92.17 Joules power/energy-pkg/                                                     
    16.024692886              92.25 Joules power/energy-pkg/                                                     
    17.025692585              90.62 Joules power/energy-pkg/                                                     
    18.026695326              95.28 Joules power/energy-pkg/                                                     
    19.027703934              94.25 Joules power/energy-pkg/                                                     
    20.028691925              93.39 Joules power/energy-pkg/                                                     
    21.029692775              93.40 Joules power/energy-pkg/                                                     
    22.030950356              84.09 Joules power/energy-pkg/                                                     
    23.032231502              81.67 Joules power/energy-pkg/                                                     
    24.033506294              81.44 Joules power/energy-pkg/                                                     
    25.034691306              83.60 Joules power/energy-pkg/                                                     
    26.036027131              95.98 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.037301956              80.13 Joules power/energy-pkg/                                                     
    28.038546797              84.68 Joules power/energy-pkg/                                                     
    29.039839091              86.69 Joules power/energy-pkg/                                                     
    30.041139818              89.43 Joules power/energy-pkg/                                                     
    31.042434935              85.20 Joules power/energy-pkg/                                                     
    32.044441427              83.43 Joules power/energy-pkg/                                                     
    33.045683369              86.81 Joules power/energy-pkg/                                                     
    34.048652494              91.91 Joules power/energy-pkg/                                                     
    35.049917452              88.10 Joules power/energy-pkg/                                                     
    36.051210020              83.78 Joules power/energy-pkg/                                                     
    37.052457198              81.10 Joules power/energy-pkg/                                                     
    38.053735621              88.18 Joules power/energy-pkg/                                                     
    39.055824849              94.33 Joules power/energy-pkg/                                                     
    40.056655064              97.90 Joules power/energy-pkg/                                                     
    41.057955057             109.52 Joules power/energy-pkg/                                                     
    42.059227044              96.57 Joules power/energy-pkg/                                                     
    43.060489133              95.34 Joules power/energy-pkg/                                                     
    44.061791308              91.76 Joules power/energy-pkg/                                                     
    45.063058719              89.23 Joules power/energy-pkg/                                                     
    46.064332625              86.45 Joules power/energy-pkg/                                                     
    47.065586099              87.37 Joules power/energy-pkg/                                                     
    48.066853408              96.61 Joules power/energy-pkg/                                                     
    49.068153806              98.63 Joules power/energy-pkg/                                                     
    50.069390575              91.53 Joules power/energy-pkg/                                                     
    51.070662947              93.98 Joules power/energy-pkg/                                                     
    52.071913512              90.35 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    53.073193798              93.69 Joules power/energy-pkg/                                                     
    54.074467063              90.69 Joules power/energy-pkg/                                                     
    55.075746017              91.12 Joules power/energy-pkg/                                                     
    56.076973359              94.38 Joules power/energy-pkg/                                                     
    57.080665619              95.30 Joules power/energy-pkg/                                                     
    58.082698942              96.16 Joules power/energy-pkg/                                                     
    59.083671025              95.30 Joules power/energy-pkg/                                                     
    60.084698531              93.69 Joules power/energy-pkg/                                                     
    61.085700777              90.39 Joules power/energy-pkg/                                                     
    62.086697718              85.94 Joules power/energy-pkg/                                                     
    63.087958118              87.54 Joules power/energy-pkg/                                                     
    64.089186662              88.86 Joules power/energy-pkg/                                                     
    65.089680253              93.09 Joules power/energy-pkg/                                                     
    66.094695679              97.13 Joules power/energy-pkg/                                                     
    67.096756885              93.38 Joules power/energy-pkg/                                                     
    68.097996836              99.44 Joules power/energy-pkg/                                                     
    69.099257939              95.15 Joules power/energy-pkg/                                                     
    70.099650908              95.56 Joules power/energy-pkg/                                                     
    71.100882430              95.96 Joules power/energy-pkg/                                                     
    72.102146139              93.81 Joules power/energy-pkg/                                                     
    73.103395796              94.15 Joules power/energy-pkg/                                                     
    74.103963718              91.06 Joules power/energy-pkg/                                                     
    75.105221771              88.74 Joules power/energy-pkg/                                                     
    76.105698235              95.36 Joules power/energy-pkg/                                                     
    77.108670151              96.81 Joules power/energy-pkg/                                                     
    78.109678368             102.13 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    79.110957440             101.59 Joules power/energy-pkg/                                                     
    80.111687374              96.16 Joules power/energy-pkg/                                                     
    81.114207567              99.61 Joules power/energy-pkg/                                                     
    82.115471137              97.15 Joules power/energy-pkg/                                                     
    83.116778004             101.20 Joules power/energy-pkg/                                                     
    84.118052098             100.92 Joules power/energy-pkg/                                                     
    85.119336673              97.44 Joules power/energy-pkg/                                                     
    86.120216189             100.08 Joules power/energy-pkg/                                                     
    87.121505603             100.12 Joules power/energy-pkg/                                                     
    88.122827213              99.39 Joules power/energy-pkg/                                                     
    89.124097506              95.91 Joules power/energy-pkg/                                                     
    90.125401858              92.50 Joules power/energy-pkg/                                                     
    91.126741796              92.29 Joules power/energy-pkg/                                                     
    92.128036842              91.16 Joules power/energy-pkg/                                                     
    93.129301585              88.16 Joules power/energy-pkg/                                                     
    94.130557307              89.39 Joules power/energy-pkg/                                                     
    95.131834079              83.74 Joules power/energy-pkg/                                                     
    96.133174871              86.88 Joules power/energy-pkg/                                                     
    97.134441521              86.00 Joules power/energy-pkg/                                                     
    98.135735648              85.87 Joules power/energy-pkg/                                                     
    99.136810734              86.20 Joules power/energy-pkg/                                                     
   100.138079926              84.55 Joules power/energy-pkg/                                                     
   101.139351619              86.25 Joules power/energy-pkg/                                                     
   102.139660530              89.66 Joules power/energy-pkg/                                                     
   103.140653827              90.85 Joules power/energy-pkg/                                                     
   104.141938710              89.09 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   105.142706952              87.20 Joules power/energy-pkg/                                                     
   106.144004573              89.86 Joules power/energy-pkg/                                                     
   107.145330541              93.14 Joules power/energy-pkg/                                                     
   108.146647091              95.13 Joules power/energy-pkg/                                                     
   109.147943772              92.04 Joules power/energy-pkg/                                                     
   110.149254437              91.08 Joules power/energy-pkg/                                                     
   111.150553887              92.67 Joules power/energy-pkg/                                                     
   112.151843564              91.75 Joules power/energy-pkg/                                                     
   113.153135852              90.85 Joules power/energy-pkg/                                                     
   114.154415847              90.81 Joules power/energy-pkg/                                                     
   115.155736632              88.17 Joules power/energy-pkg/                                                     
   116.156656924              89.10 Joules power/energy-pkg/                                                     
   117.157915412              87.84 Joules power/energy-pkg/                                                     
   118.158704709              91.10 Joules power/energy-pkg/                                                     
   119.160674781              93.22 Joules power/energy-pkg/                                                     
   120.163861168              91.73 Joules power/energy-pkg/                                                     
   121.165110100              92.19 Joules power/energy-pkg/                                                     
   122.166360589              90.82 Joules power/energy-pkg/                                                     
   123.167639071              90.83 Joules power/energy-pkg/                                                     
   124.168480925              90.31 Joules power/energy-pkg/                                                     
   125.208990013              96.93 Joules power/energy-pkg/                                                     
   126.209689880              95.04 Joules power/energy-pkg/                                                     
   127.213710930             102.12 Joules power/energy-pkg/                                                     
   128.214697256             103.91 Joules power/energy-pkg/                                                     
   129.215669458             104.26 Joules power/energy-pkg/                                                     
   130.216694064             102.04 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   131.217661794              99.63 Joules power/energy-pkg/                                                     
   132.218694414              98.54 Joules power/energy-pkg/                                                     
   133.219667409              97.73 Joules power/energy-pkg/                                                     
   134.220698218              94.35 Joules power/energy-pkg/                                                     
   135.221705026              92.52 Joules power/energy-pkg/                                                     
   136.222666153              96.71 Joules power/energy-pkg/                                                     
   137.223683765              97.68 Joules power/energy-pkg/                                                     
   138.224672058             100.05 Joules power/energy-pkg/                                                     
   139.225665950              99.94 Joules power/energy-pkg/                                                     
   140.226669032              95.10 Joules power/energy-pkg/                                                     
   141.227659205              95.72 Joules power/energy-pkg/                                                     
   142.228697532              98.79 Joules power/energy-pkg/                                                     
   143.229660834              99.17 Joules power/energy-pkg/                                                     
   144.230665584              99.43 Joules power/energy-pkg/                                                     
   145.231689503              98.94 Joules power/energy-pkg/                                                     
   146.232668330              98.98 Joules power/energy-pkg/                                                     
   147.233694538              98.42 Joules power/energy-pkg/                                                     
   148.237690215              89.92 Joules power/energy-pkg/                                                     
   149.238688562              95.76 Joules power/energy-pkg/                                                     
   150.239690197              95.79 Joules power/energy-pkg/                                                     
   151.240662337              97.44 Joules power/energy-pkg/                                                     
   152.241694453              98.62 Joules power/energy-pkg/                                                     
   153.242669298              98.34 Joules power/energy-pkg/                                                     
   154.243689566              97.64 Joules power/energy-pkg/                                                     
   155.446659957             116.63 Joules power/energy-pkg/                                                     
   156.447695051              98.31 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   157.448693483              96.70 Joules power/energy-pkg/                                                     
   158.449660175              97.26 Joules power/energy-pkg/                                                     
   159.450696399              99.18 Joules power/energy-pkg/                                                     
   160.451691269              94.63 Joules power/energy-pkg/                                                     
   161.452692224              96.92 Joules power/energy-pkg/                                                     
   162.453692582              95.88 Joules power/energy-pkg/                                                     
   163.456660101              96.07 Joules power/energy-pkg/                                                     
   164.457688963              96.20 Joules power/energy-pkg/                                                     
   165.458689169              97.31 Joules power/energy-pkg/                                                     
   166.462693668              97.57 Joules power/energy-pkg/                                                     
   167.463690761              97.35 Joules power/energy-pkg/                                                     
   168.464658764             101.31 Joules power/energy-pkg/                                                     
   169.465691593              98.74 Joules power/energy-pkg/                                                     
   170.466706335              99.89 Joules power/energy-pkg/                                                     
   171.467695427              98.49 Joules power/energy-pkg/                                                     
   172.471696781              96.23 Joules power/energy-pkg/                                                     
   173.472691768              95.88 Joules power/energy-pkg/                                                     
   174.473695233              95.17 Joules power/energy-pkg/                                                     
   175.474665154              96.21 Joules power/energy-pkg/                                                     
   176.475713200              97.14 Joules power/energy-pkg/                                                     
   177.478704908              94.39 Joules power/energy-pkg/                                                     
   178.479701585              93.49 Joules power/energy-pkg/                                                     
   179.480707295              92.23 Joules power/energy-pkg/                                                     
   180.484702845              97.09 Joules power/energy-pkg/                                                     
   181.485707928              95.05 Joules power/energy-pkg/                                                     
   182.486710590              91.21 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   183.487710117              92.01 Joules power/energy-pkg/                                                     
   184.488684694              91.13 Joules power/energy-pkg/                                                     
   185.489705749              90.87 Joules power/energy-pkg/                                                     
   186.490704303              92.47 Joules power/energy-pkg/                                                     
   187.492707936              93.39 Joules power/energy-pkg/                                                     
   188.493707229              92.79 Joules power/energy-pkg/                                                     
   189.494713168              92.38 Joules power/energy-pkg/                                                     
   190.495709915              92.19 Joules power/energy-pkg/                                                     
   191.496697721              95.37 Joules power/energy-pkg/                                                     
   192.499709717              93.47 Joules power/energy-pkg/                                                     
   193.500701234              93.54 Joules power/energy-pkg/                                                     
   194.501705302              90.98 Joules power/energy-pkg/                                                     
   195.502703294              89.03 Joules power/energy-pkg/                                                     
   196.503717790              90.77 Joules power/energy-pkg/                                                     
   197.504710043              91.06 Joules power/energy-pkg/                                                     
   198.505687572              97.23 Joules power/energy-pkg/                                                     
   199.506693798              92.26 Joules power/energy-pkg/                                                     
   200.507693355              89.23 Joules power/energy-pkg/                                                     
   201.508958198              86.69 Joules power/energy-pkg/                                                     
   202.510241510              88.60 Joules power/energy-pkg/                                                     
   203.511528174              87.35 Joules power/energy-pkg/                                                     
   204.512827746              88.46 Joules power/energy-pkg/                                                     
   205.514102220              83.40 Joules power/energy-pkg/                                                     
   206.515374201              87.82 Joules power/energy-pkg/                                                     
   207.515807128              86.72 Joules power/energy-pkg/                                                     
   208.517079973              89.90 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   209.518358078              89.29 Joules power/energy-pkg/                                                     
   210.519605644              87.96 Joules power/energy-pkg/                                                     
   211.520876266              90.83 Joules power/energy-pkg/                                                     
   212.521510696              93.01 Joules power/energy-pkg/                                                     
