# started on Fri Apr  3 17:41:39 2026

#           time             counts   unit events
     1.000452797              90.05 Joules power/energy-pkg/                                                     
     2.001415797              91.39 Joules power/energy-pkg/                                                     
     3.003438527              98.69 Joules power/energy-pkg/                                                     
     4.004437392              91.56 Joules power/energy-pkg/                                                     
     5.005439772              91.64 Joules power/energy-pkg/                                                     
     6.006440601              90.09 Joules power/energy-pkg/                                                     
     7.007439406              90.59 Joules power/energy-pkg/                                                     
     8.008709635              93.12 Joules power/energy-pkg/                                                     
     9.009994834              86.79 Joules power/energy-pkg/                                                     
    10.011260833              88.37 Joules power/energy-pkg/                                                     
    11.012580403              92.57 Joules power/energy-pkg/                                                     
    12.012946979             102.33 Joules power/energy-pkg/                                                     
    13.014234770              97.32 Joules power/energy-pkg/                                                     
    14.015602003              93.90 Joules power/energy-pkg/                                                     
    15.016828439              94.03 Joules power/energy-pkg/                                                     
    16.017413550              93.60 Joules power/energy-pkg/                                                     
    17.018407713              97.47 Joules power/energy-pkg/                                                     
    18.019399956              94.71 Joules power/energy-pkg/                                                     
    19.020688514              93.17 Joules power/energy-pkg/                                                     
    20.021414266              90.20 Joules power/energy-pkg/                                                     
    21.022696125              90.32 Joules power/energy-pkg/                                                     
    22.023454699              90.76 Joules power/energy-pkg/                                                     
    23.027455524              92.61 Joules power/energy-pkg/                                                     
    24.028453089              89.78 Joules power/energy-pkg/                                                     
    25.029456627              91.06 Joules power/energy-pkg/                                                     
    26.030455860              90.14 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.031453666              89.50 Joules power/energy-pkg/                                                     
    28.036458518              92.04 Joules power/energy-pkg/                                                     
    29.037428305              92.58 Joules power/energy-pkg/                                                     
    30.037951143              92.27 Joules power/energy-pkg/                                                     
    31.039231183              88.08 Joules power/energy-pkg/                                                     
    32.040553431              87.41 Joules power/energy-pkg/                                                     
    33.041457536              91.27 Joules power/energy-pkg/                                                     
    34.044511629              91.45 Joules power/energy-pkg/                                                     
    35.045778905              91.14 Joules power/energy-pkg/                                                     
    36.047100510              88.34 Joules power/energy-pkg/                                                     
    37.048406258              86.67 Joules power/energy-pkg/                                                     
    38.049698301              88.90 Joules power/energy-pkg/                                                     
    39.050589657              89.15 Joules power/energy-pkg/                                                     
    40.051875542              92.38 Joules power/energy-pkg/                                                     
    41.052453035              91.79 Joules power/energy-pkg/                                                     
    42.055454585              92.67 Joules power/energy-pkg/                                                     
    43.056750053              93.57 Joules power/energy-pkg/                                                     
    44.058070613              92.82 Joules power/energy-pkg/                                                     
    45.059394583              92.34 Joules power/energy-pkg/                                                     
    46.060440986              94.02 Joules power/energy-pkg/                                                     
    47.063459163             100.19 Joules power/energy-pkg/                                                     
    48.064463401              96.48 Joules power/energy-pkg/                                                     
    49.065467146              97.49 Joules power/energy-pkg/                                                     
    50.066461319              99.59 Joules power/energy-pkg/                                                     
    51.067462531              99.51 Joules power/energy-pkg/                                                     
    52.068431087              99.76 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    53.069460586              99.75 Joules power/energy-pkg/                                                     
    54.070470605             100.01 Joules power/energy-pkg/                                                     
    55.071430726              99.80 Joules power/energy-pkg/                                                     
    56.072462988              99.67 Joules power/energy-pkg/                                                     
    57.076425386             100.66 Joules power/energy-pkg/                                                     
    58.077452393              99.43 Joules power/energy-pkg/                                                     
    59.078789873              99.96 Joules power/energy-pkg/                                                     
    60.079455279              96.45 Joules power/energy-pkg/                                                     
    61.084452153              96.71 Joules power/energy-pkg/                                                     
    62.090461335              96.54 Joules power/energy-pkg/                                                     
    63.168602105             103.08 Joules power/energy-pkg/                                                     
    64.170438268              96.70 Joules power/energy-pkg/                                                     
    65.174453090              96.67 Joules power/energy-pkg/                                                     
    66.179449925              96.50 Joules power/energy-pkg/                                                     
    67.184462268              95.40 Joules power/energy-pkg/                                                     
    68.270916841             103.26 Joules power/energy-pkg/                                                     
    69.275459717              95.73 Joules power/energy-pkg/                                                     
