# started on Fri Apr  3 17:53:43 2026

#           time             counts   unit events
     1.000793737              61.86 Joules power/energy-pkg/                                                     
     2.002809012              60.60 Joules power/energy-pkg/                                                     
     3.005823520              59.61 Joules power/energy-pkg/                                                     
     4.006841475              62.77 Joules power/energy-pkg/                                                     
     5.010812869              62.71 Joules power/energy-pkg/                                                     
     6.011814933              60.22 Joules power/energy-pkg/                                                     
     7.012769534              60.84 Joules power/energy-pkg/                                                     
     8.013782626              61.10 Joules power/energy-pkg/                                                     
     9.015808294              63.42 Joules power/energy-pkg/                                                     
    10.016808032              61.67 Joules power/energy-pkg/                                                     
    11.017811933              58.52 Joules power/energy-pkg/                                                     
    12.021814771              57.96 Joules power/energy-pkg/                                                     
    13.022822129              59.46 Joules power/energy-pkg/                                                     
    14.023804357              60.41 Joules power/energy-pkg/                                                     
    15.024815122              57.61 Joules power/energy-pkg/                                                     
    16.025774493              59.22 Joules power/energy-pkg/                                                     
    17.026808048              58.96 Joules power/energy-pkg/                                                     
    18.027811320              57.78 Joules power/energy-pkg/                                                     
    19.028775794              57.71 Joules power/energy-pkg/                                                     
    20.030338126              57.15 Joules power/energy-pkg/                                                     
    21.031810837              58.78 Joules power/energy-pkg/                                                     
    22.032812045              58.51 Joules power/energy-pkg/                                                     
    23.033836990              57.99 Joules power/energy-pkg/                                                     
    24.034804258              57.50 Joules power/energy-pkg/                                                     
    25.035818112              56.18 Joules power/energy-pkg/                                                     
    26.036822091              55.40 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.037833615              55.34 Joules power/energy-pkg/                                                     
    28.038830423              55.48 Joules power/energy-pkg/                                                     
    29.040841305              55.30 Joules power/energy-pkg/                                                     
    30.041831996              56.02 Joules power/energy-pkg/                                                     
    31.045843284              56.68 Joules power/energy-pkg/                                                     
    32.046840862              56.85 Joules power/energy-pkg/                                                     
    33.047838570              56.82 Joules power/energy-pkg/                                                     
    34.048828275              57.91 Joules power/energy-pkg/                                                     
    35.049833276              56.67 Joules power/energy-pkg/                                                     
    36.050820758              58.09 Joules power/energy-pkg/                                                     
    37.051827575              58.06 Joules power/energy-pkg/                                                     
    38.052806427              56.90 Joules power/energy-pkg/                                                     
    39.053807715              57.47 Joules power/energy-pkg/                                                     
    40.054839256              56.18 Joules power/energy-pkg/                                                     
    41.056820191              56.62 Joules power/energy-pkg/                                                     
    42.057830842              57.57 Joules power/energy-pkg/                                                     
    43.058803707              59.57 Joules power/energy-pkg/                                                     
    44.062802045              61.66 Joules power/energy-pkg/                                                     
    45.063804089              58.63 Joules power/energy-pkg/                                                     
    46.064802394              60.28 Joules power/energy-pkg/                                                     
    47.065805969              58.99 Joules power/energy-pkg/                                                     
    48.067809453              57.79 Joules power/energy-pkg/                                                     
    49.068806105              57.28 Joules power/energy-pkg/                                                     
    50.069777006              57.12 Joules power/energy-pkg/                                                     
    51.070806314              57.29 Joules power/energy-pkg/                                                     
    52.071805042              57.10 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    53.073288217              57.01 Joules power/energy-pkg/                                                     
    54.074619130              54.46 Joules power/energy-pkg/                                                     
    55.076155605              53.23 Joules power/energy-pkg/                                                     
    56.076722564              81.56 Joules power/energy-pkg/                                                     
    57.078025884              91.16 Joules power/energy-pkg/                                                     
    58.079329712              96.35 Joules power/energy-pkg/                                                     
    59.080623427             100.55 Joules power/energy-pkg/                                                     
    60.081760103              94.15 Joules power/energy-pkg/                                                     
    61.084764512              93.99 Joules power/energy-pkg/                                                     
    62.085766695              95.50 Joules power/energy-pkg/                                                     
    63.089740745              96.69 Joules power/energy-pkg/                                                     
    64.092724148             100.56 Joules power/energy-pkg/                                                     
    65.093768448              95.05 Joules power/energy-pkg/                                                     
    66.096784947              97.28 Joules power/energy-pkg/                                                     
    67.097771280              90.72 Joules power/energy-pkg/                                                     
    68.102769963              92.52 Joules power/energy-pkg/                                                     
    69.103740229              97.04 Joules power/energy-pkg/                                                     
    70.109857199              90.65 Joules power/energy-pkg/                                                     
    71.111158345              86.72 Joules power/energy-pkg/                                                     
    72.112498938              85.56 Joules power/energy-pkg/                                                     
    73.113833566              91.18 Joules power/energy-pkg/                                                     
    74.118845196              96.02 Joules power/energy-pkg/                                                     
    75.120164780              96.21 Joules power/energy-pkg/                                                     
    76.121482795             100.49 Joules power/energy-pkg/                                                     
    77.122831587              95.60 Joules power/energy-pkg/                                                     
    78.124126834              94.62 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    79.125432842              98.51 Joules power/energy-pkg/                                                     
    80.126767046              99.20 Joules power/energy-pkg/                                                     
    81.129072082             102.66 Joules power/energy-pkg/                                                     
    82.129736263              92.85 Joules power/energy-pkg/                                                     
    83.130731902              92.91 Joules power/energy-pkg/                                                     
    84.132055922              93.69 Joules power/energy-pkg/                                                     
    85.133383115              94.52 Joules power/energy-pkg/                                                     
    86.134805230              95.52 Joules power/energy-pkg/                                                     
    87.136135385              96.36 Joules power/energy-pkg/                                                     
    88.137171440              96.23 Joules power/energy-pkg/                                                     
    89.138258898              96.30 Joules power/energy-pkg/                                                     
    90.138777450              95.64 Joules power/energy-pkg/                                                     
    91.140770995              98.10 Joules power/energy-pkg/                                                     
    92.141736058              99.71 Joules power/energy-pkg/                                                     
    93.143740471             100.25 Joules power/energy-pkg/                                                     
    94.146889430              99.60 Joules power/energy-pkg/                                                     
    95.148224134              97.67 Joules power/energy-pkg/                                                     
    96.149568228              97.50 Joules power/energy-pkg/                                                     
    97.150931805              97.58 Joules power/energy-pkg/                                                     
    98.152276167              97.46 Joules power/energy-pkg/                                                     
    99.153616255             101.17 Joules power/energy-pkg/                                                     
   100.154943028             100.52 Joules power/energy-pkg/                                                     
   101.156235580              98.95 Joules power/energy-pkg/                                                     
   102.156736109              99.92 Joules power/energy-pkg/                                                     
   103.157763047              99.87 Joules power/energy-pkg/                                                     
   104.161764652             100.77 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   105.162766081              99.00 Joules power/energy-pkg/                                                     
   106.164066624              97.18 Joules power/energy-pkg/                                                     
   107.165404359              95.55 Joules power/energy-pkg/                                                     
   108.166799374              95.65 Joules power/energy-pkg/                                                     
   109.168068991             104.20 Joules power/energy-pkg/                                                     
   110.169367525              92.30 Joules power/energy-pkg/                                                     
   111.170715597              97.19 Joules power/energy-pkg/                                                     
   112.172000366              93.90 Joules power/energy-pkg/                                                     
   113.173240732              93.83 Joules power/energy-pkg/                                                     
   114.174552144              93.55 Joules power/energy-pkg/                                                     
   115.175549170              89.30 Joules power/energy-pkg/                                                     
   116.176868953              91.04 Joules power/energy-pkg/                                                     
   117.178141149              92.58 Joules power/energy-pkg/                                                     
   118.179445729              94.41 Joules power/energy-pkg/                                                     
   119.182760670              92.63 Joules power/energy-pkg/                                                     
   120.184026546              90.25 Joules power/energy-pkg/                                                     
   121.184717089              94.50 Joules power/energy-pkg/                                                     
   122.185987326              93.16 Joules power/energy-pkg/                                                     
   123.186907295              92.60 Joules power/energy-pkg/                                                     
   124.188223615              93.34 Joules power/energy-pkg/                                                     
   125.192023506              89.84 Joules power/energy-pkg/                                                     
   126.193351123              93.80 Joules power/energy-pkg/                                                     
   127.193747547              96.52 Joules power/energy-pkg/                                                     
   128.195133716              96.76 Joules power/energy-pkg/                                                     
   129.196421632              95.57 Joules power/energy-pkg/                                                     
   130.196766517              92.85 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   131.199759215              97.80 Joules power/energy-pkg/                                                     
   132.200767439              93.68 Joules power/energy-pkg/                                                     
   133.201761300              93.66 Joules power/energy-pkg/                                                     
   134.202764442              91.86 Joules power/energy-pkg/                                                     
   135.203763201              87.43 Joules power/energy-pkg/                                                     
   136.205081633              91.81 Joules power/energy-pkg/                                                     
   137.206371914              90.79 Joules power/energy-pkg/                                                     
   138.207663858              92.62 Joules power/energy-pkg/                                                     
   139.208971703              95.28 Joules power/energy-pkg/                                                     
   140.210274172              92.20 Joules power/energy-pkg/                                                     
   141.211596951              98.63 Joules power/energy-pkg/                                                     
   142.212960070              94.65 Joules power/energy-pkg/                                                     
   143.214284325              93.86 Joules power/energy-pkg/                                                     
   144.215505641              93.56 Joules power/energy-pkg/                                                     
   145.216864249              89.33 Joules power/energy-pkg/                                                     
   146.218199984              93.93 Joules power/energy-pkg/                                                     
   147.219510389              94.38 Joules power/energy-pkg/                                                     
   148.220818767              91.39 Joules power/energy-pkg/                                                     
   149.222097681              90.96 Joules power/energy-pkg/                                                     
   150.223372784              89.42 Joules power/energy-pkg/                                                     
   151.224705799              92.34 Joules power/energy-pkg/                                                     
   152.226020893              91.78 Joules power/energy-pkg/                                                     
   153.226783463              91.72 Joules power/energy-pkg/                                                     
   154.228079062              90.14 Joules power/energy-pkg/                                                     
   155.229385748              93.89 Joules power/energy-pkg/                                                     
   156.230747370              97.08 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   157.232096016              96.39 Joules power/energy-pkg/                                                     
   158.232758799              97.31 Joules power/energy-pkg/                                                     
   159.235772731              98.21 Joules power/energy-pkg/                                                     
   160.236764916              94.31 Joules power/energy-pkg/                                                     
   161.237744999              95.36 Joules power/energy-pkg/                                                     
   162.238777777              96.38 Joules power/energy-pkg/                                                     
   163.239777442              95.60 Joules power/energy-pkg/                                                     
   164.241135350              98.28 Joules power/energy-pkg/                                                     
   165.242478884              93.47 Joules power/energy-pkg/                                                     
   166.243757663              95.79 Joules power/energy-pkg/                                                     
   167.246842448              95.44 Joules power/energy-pkg/                                                     
   168.248124168              94.15 Joules power/energy-pkg/                                                     
   169.249390807              94.49 Joules power/energy-pkg/                                                     
   170.249765763              92.89 Joules power/energy-pkg/                                                     
   171.252861418              99.87 Joules power/energy-pkg/                                                     
   172.253772236              94.90 Joules power/energy-pkg/                                                     
   173.256767667              95.59 Joules power/energy-pkg/                                                     
   174.257777457              94.88 Joules power/energy-pkg/                                                     
   175.258784516              95.35 Joules power/energy-pkg/                                                     
   176.259749815              96.89 Joules power/energy-pkg/                                                     
   177.260761668              94.99 Joules power/energy-pkg/                                                     
   178.261760934              97.76 Joules power/energy-pkg/                                                     
   179.262762889              98.65 Joules power/energy-pkg/                                                     
   180.263769438              99.69 Joules power/energy-pkg/                                                     
   181.264761390              99.95 Joules power/energy-pkg/                                                     
   182.266771502             100.50 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   183.268130037             105.80 Joules power/energy-pkg/                                                     
   184.269482679             105.18 Joules power/energy-pkg/                                                     
   185.270873393             102.58 Joules power/energy-pkg/                                                     
   186.271769065             102.84 Joules power/energy-pkg/                                                     
   187.273768819              96.21 Joules power/energy-pkg/                                                     
   188.277766173              99.00 Joules power/energy-pkg/                                                     
   189.280757278              94.46 Joules power/energy-pkg/                                                     
   190.283763724              93.81 Joules power/energy-pkg/                                                     
   191.288830824              94.16 Joules power/energy-pkg/                                                     
   192.290113223              92.09 Joules power/energy-pkg/                                                     
   193.291393108              93.24 Joules power/energy-pkg/                                                     
   194.292728857              93.84 Joules power/energy-pkg/                                                     
   195.294008046              94.79 Joules power/energy-pkg/                                                     
   196.294914821              94.59 Joules power/energy-pkg/                                                     
   197.296202485              92.05 Joules power/energy-pkg/                                                     
   198.297505132              96.47 Joules power/energy-pkg/                                                     
   199.298888421              98.87 Joules power/energy-pkg/                                                     
   200.300205172             100.66 Joules power/energy-pkg/                                                     
   201.301512553             101.24 Joules power/energy-pkg/                                                     
   202.302849639              94.26 Joules power/energy-pkg/                                                     
   203.304127594              95.73 Joules power/energy-pkg/                                                     
   204.304766437              95.86 Joules power/energy-pkg/                                                     
   205.307851615              95.98 Joules power/energy-pkg/                                                     
   206.309111211              94.79 Joules power/energy-pkg/                                                     
   207.310397793              95.13 Joules power/energy-pkg/                                                     
   208.311706878              93.88 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   209.312982967              94.47 Joules power/energy-pkg/                                                     
   210.314283184              94.80 Joules power/energy-pkg/                                                     
   211.315573995              95.98 Joules power/energy-pkg/                                                     
   212.316871787              94.55 Joules power/energy-pkg/                                                     
   213.318180603              95.35 Joules power/energy-pkg/                                                     
   214.319486566              95.20 Joules power/energy-pkg/                                                     
   215.320819224              96.55 Joules power/energy-pkg/                                                     
   216.322069779              97.56 Joules power/energy-pkg/                                                     
   217.323312745              96.30 Joules power/energy-pkg/                                                     
   218.324576517              96.59 Joules power/energy-pkg/                                                     
   219.325866722              96.02 Joules power/energy-pkg/                                                     
   220.327108362              95.62 Joules power/energy-pkg/                                                     
   221.328425175              95.72 Joules power/energy-pkg/                                                     
   222.329696098              94.82 Joules power/energy-pkg/                                                     
   223.330970682              95.22 Joules power/energy-pkg/                                                     
   224.332230709              93.65 Joules power/energy-pkg/                                                     
   225.333491660              93.15 Joules power/energy-pkg/                                                     
   226.334786160              95.79 Joules power/energy-pkg/                                                     
   227.335584579              95.70 Joules power/energy-pkg/                                                     
   228.337972526              95.14 Joules power/energy-pkg/                                                     
   229.338769903              94.33 Joules power/energy-pkg/                                                     
   230.342776923              95.94 Joules power/energy-pkg/                                                     
   231.345773036              97.47 Joules power/energy-pkg/                                                     
   232.349760825              94.46 Joules power/energy-pkg/                                                     
   233.352823469              94.73 Joules power/energy-pkg/                                                     
   234.354077702              93.11 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   235.355348900              93.37 Joules power/energy-pkg/                                                     
   236.356623895              96.25 Joules power/energy-pkg/                                                     
   237.357894847              94.25 Joules power/energy-pkg/                                                     
   238.358948323              94.68 Joules power/energy-pkg/                                                     
   239.360238992              95.28 Joules power/energy-pkg/                                                     
   240.360762584              95.88 Joules power/energy-pkg/                                                     
   241.362825100              95.78 Joules power/energy-pkg/                                                     
   242.364078529              94.79 Joules power/energy-pkg/                                                     
   243.364484200              96.81 Joules power/energy-pkg/                                                     
   244.365779736              96.02 Joules power/energy-pkg/                                                     
   245.367025599              96.68 Joules power/energy-pkg/                                                     
   246.368304310              95.62 Joules power/energy-pkg/                                                     
   247.369580719              90.22 Joules power/energy-pkg/                                                     
   248.370900345              93.56 Joules power/energy-pkg/                                                     
   249.372169497              94.43 Joules power/energy-pkg/                                                     
   250.373450630              97.32 Joules power/energy-pkg/                                                     
   251.374730719              99.66 Joules power/energy-pkg/                                                     
   252.376093867              96.33 Joules power/energy-pkg/                                                     
   253.377373724              97.09 Joules power/energy-pkg/                                                     
   254.378730750              58.70 Joules power/energy-pkg/                                                     
   255.380172661              58.30 Joules power/energy-pkg/                                                     
   256.381619315              59.05 Joules power/energy-pkg/                                                     
   257.383164030              58.37 Joules power/energy-pkg/                                                     
   258.384738209              59.40 Joules power/energy-pkg/                                                     
   259.386254447              58.74 Joules power/energy-pkg/                                                     
   260.387729664              59.49 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   261.389171699              61.08 Joules power/energy-pkg/                                                     
   262.542911352              67.74 Joules power/energy-pkg/                                                     
   263.546832292              60.29 Joules power/energy-pkg/                                                     
   264.547818457              59.28 Joules power/energy-pkg/                                                     
   265.548842438              59.48 Joules power/energy-pkg/                                                     
   266.549822190              59.37 Joules power/energy-pkg/                                                     
   267.562215755              59.79 Joules power/energy-pkg/                                                     
   268.562819221              59.10 Joules power/energy-pkg/                                                     
   269.563809772              58.03 Joules power/energy-pkg/                                                     
   270.564818740              57.85 Joules power/energy-pkg/                                                     
   271.565829468              57.77 Joules power/energy-pkg/                                                     
   272.567816366              58.03 Joules power/energy-pkg/                                                     
   273.568810731              59.50 Joules power/energy-pkg/                                                     
   274.571818882              59.13 Joules power/energy-pkg/                                                     
   275.572795390              59.02 Joules power/energy-pkg/                                                     
   276.574257791              58.02 Joules power/energy-pkg/                                                     
   277.600119355              59.88 Joules power/energy-pkg/                                                     
   278.601582146              59.41 Joules power/energy-pkg/                                                     
   279.603097448              59.43 Joules power/energy-pkg/                                                     
   280.604580312              59.20 Joules power/energy-pkg/                                                     
   281.605254421              57.39 Joules power/energy-pkg/                                                     
   282.605764950              58.60 Joules power/energy-pkg/                                                     
   283.607211040              58.84 Joules power/energy-pkg/                                                     
   284.608858460              58.92 Joules power/energy-pkg/                                                     
   285.609959345              58.89 Joules power/energy-pkg/                                                     
   286.611456016              58.16 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   287.613016471              58.73 Joules power/energy-pkg/                                                     
   288.613747521              58.80 Joules power/energy-pkg/                                                     
   289.615200649              59.99 Joules power/energy-pkg/                                                     
   290.616734180              60.92 Joules power/energy-pkg/                                                     
   291.618219141              59.16 Joules power/energy-pkg/                                                     
   292.619721619              56.06 Joules power/energy-pkg/                                                     
   293.621149057              57.15 Joules power/energy-pkg/                                                     
   294.623119011              57.66 Joules power/energy-pkg/                                                     
   295.624018958              57.26 Joules power/energy-pkg/                                                     
   296.626135327              56.24 Joules power/energy-pkg/                                                     
   297.627592515              56.97 Joules power/energy-pkg/                                                     
   298.629107703              57.40 Joules power/energy-pkg/                                                     
   299.630993250              55.96 Joules power/energy-pkg/                                                     
   300.633068986              55.70 Joules power/energy-pkg/                                                     
   301.633828139              55.84 Joules power/energy-pkg/                                                     
   302.636956381              56.37 Joules power/energy-pkg/                                                     
   303.637645920              53.76 Joules power/energy-pkg/                                                     
   304.640185437              59.43 Joules power/energy-pkg/                                                     
   305.641479051              87.53 Joules power/energy-pkg/                                                     
   306.642806132              86.21 Joules power/energy-pkg/                                                     
   307.644066652              88.61 Joules power/energy-pkg/                                                     
   308.645365296              88.77 Joules power/energy-pkg/                                                     
   309.646659275              89.57 Joules power/energy-pkg/                                                     
   310.649953400              90.70 Joules power/energy-pkg/                                                     
   311.651222700              86.26 Joules power/energy-pkg/                                                     
   312.652505576              87.24 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   313.655514732              84.14 Joules power/energy-pkg/                                                     
   314.656832075              81.98 Joules power/energy-pkg/                                                     
   315.658111995              81.95 Joules power/energy-pkg/                                                     
   316.658769538              78.52 Joules power/energy-pkg/                                                     
   317.660772602              81.16 Joules power/energy-pkg/                                                     
   318.661771647              84.44 Joules power/energy-pkg/                                                     
   319.662743618              85.83 Joules power/energy-pkg/                                                     
   320.665769529              91.82 Joules power/energy-pkg/                                                     
