# started on Fri Apr  3 17:39:54 2026

#           time             counts unit events
     1.001011847      2,301,586,074      cycles                                                                  (36.32%)
     1.001011847      2,597,933,219      instructions                     #    1.13  insn per cycle              (45.45%)
     1.001011847        525,617,488      branches                                                                (45.37%)
     1.001011847         18,376,809      branch-misses                    #    3.50% of all branches             (45.44%)
     1.001011847        774,967,361      L1-dcache-loads                                                         (44.08%)
     1.001011847         40,064,168      L1-dcache-load-misses            #    5.17% of all L1-dcache accesses   (18.17%)
     1.001011847    <not supported>      L1-icache-loads                                                       
     1.001011847         34,319,474      L1-icache-load-misses                                                   (18.30%)
     1.001011847         13,939,981      LLC-loads                                                               (27.32%)
     1.001011847          1,470,043      LLC-load-misses                  #   10.55% of all LL-cache accesses    (36.37%)
     1.001011847          2,801,114      dTLB-load-misses                                                        (36.39%)
     1.001011847            628,739      iTLB-load-misses                                                        (36.26%)
     1.001011847             15,210      minor-faults                                                          
     1.001011847                  0      major-faults                                                          
     2.002003519      2,471,689,681      cycles                                                                  (36.35%)
     2.002003519      3,195,337,023      instructions                     #    1.29  insn per cycle              (45.34%)
     2.002003519        638,537,947      branches                                                                (45.10%)
     2.002003519         18,993,589      branch-misses                    #    2.97% of all branches             (45.20%)
     2.002003519        922,945,493      L1-dcache-loads                                                         (43.96%)
     2.002003519         42,710,000      L1-dcache-load-misses            #    4.63% of all L1-dcache accesses   (18.00%)
     2.002003519    <not supported>      L1-icache-loads                                                       
     2.002003519         34,977,302      L1-icache-load-misses                                                   (18.28%)
     2.002003519         15,000,125      LLC-loads                                                               (27.54%)
     2.002003519          1,721,527      LLC-load-misses                  #   11.48% of all LL-cache accesses    (36.72%)
     2.002003519          2,896,116      dTLB-load-misses                                                        (36.65%)
     2.002003519            699,060      iTLB-load-misses                                                        (36.52%)
     2.002003519             11,872      minor-faults                                                          
     2.002003519                  0      major-faults                                                          
     3.003008824      1,798,136,540      cycles                                                                  (36.56%)
     3.003008824      2,162,879,130      instructions                     #    1.20  insn per cycle              (45.75%)
     3.003008824        427,247,665      branches                                                                (45.33%)
     3.003008824         14,186,438      branch-misses                    #    3.32% of all branches             (45.18%)
     3.003008824        649,885,302      L1-dcache-loads                                                         (45.01%)
     3.003008824         30,058,879      L1-dcache-load-misses            #    4.63% of all L1-dcache accesses   (17.97%)
     3.003008824    <not supported>      L1-icache-loads                                                       
     3.003008824         24,734,831      L1-icache-load-misses                                                   (18.22%)
     3.003008824         10,196,741      LLC-loads                                                               (27.54%)
     3.003008824          1,275,157      LLC-load-misses                  #   12.51% of all LL-cache accesses    (36.85%)
     3.003008824          2,271,351      dTLB-load-misses                                                        (36.85%)
     3.003008824            462,797      iTLB-load-misses                                                        (36.72%)
     3.003008824              7,885      minor-faults                                                          
     3.003008824                  0      major-faults                                                          
     4.004292242      1,072,998,391      cycles                                                                  (36.40%)
     4.004292242      1,094,372,502      instructions                     #    1.02  insn per cycle              (45.83%)
     4.004292242        234,456,955      branches                                                                (46.03%)
     4.004292242          9,345,457      branch-misses                    #    3.99% of all branches             (46.15%)
     4.004292242        282,130,794      L1-dcache-loads                                                         (46.63%)
     4.004292242         17,438,698      L1-dcache-load-misses            #    6.18% of all L1-dcache accesses   (17.87%)
     4.004292242    <not supported>      L1-icache-loads                                                       
     4.004292242         14,785,954      L1-icache-load-misses                                                   (17.73%)
     4.004292242          7,132,695      LLC-loads                                                               (26.43%)
     4.004292242          1,495,643      LLC-load-misses                  #   20.97% of all LL-cache accesses    (35.52%)
     4.004292242          1,579,009      dTLB-load-misses                                                        (35.99%)
     4.004292242            381,872      iTLB-load-misses                                                        (35.64%)
     4.004292242              5,886      minor-faults                                                          
     4.004292242                  0      major-faults                                                          
     5.005601542      1,071,817,805      cycles                                                                  (36.45%)
     5.005601542        984,177,430      instructions                     #    0.92  insn per cycle              (45.72%)
     5.005601542        209,183,172      branches                                                                (46.00%)
     5.005601542          8,443,987      branch-misses                    #    4.04% of all branches             (45.92%)
     5.005601542        303,049,230      L1-dcache-loads                                                         (44.61%)
     5.005601542         16,056,905      L1-dcache-load-misses            #    5.30% of all L1-dcache accesses   (18.10%)
     5.005601542    <not supported>      L1-icache-loads                                                       
     5.005601542         14,061,772      L1-icache-load-misses                                                   (17.88%)
     5.005601542          7,759,987      LLC-loads                                                               (27.01%)
     5.005601542          2,312,822      LLC-load-misses                  #   29.80% of all LL-cache accesses    (35.98%)
     5.005601542          1,805,997      dTLB-load-misses                                                        (35.99%)
     5.005601542            384,751      iTLB-load-misses                                                        (36.49%)
     5.005601542              5,929      minor-faults                                                          
     5.005601542                  0      major-faults                                                          
     6.006876597      1,069,959,073      cycles                                                                  (35.24%)
     6.006876597        999,032,837      instructions                     #    0.93  insn per cycle              (44.20%)
     6.006876597        193,076,268      branches                                                                (44.62%)
     6.006876597          8,159,450      branch-misses                    #    4.23% of all branches             (44.87%)
     6.006876597        242,751,967      L1-dcache-loads                                                         (45.83%)
     6.006876597         38,515,346      L1-dcache-load-misses            #   15.87% of all L1-dcache accesses   (18.89%)
     6.006876597    <not supported>      L1-icache-loads                                                       
     6.006876597         14,283,660      L1-icache-load-misses                                                   (18.64%)
     6.006876597         11,073,094      LLC-loads                                                               (27.90%)
     6.006876597          1,053,288      LLC-load-misses                  #    9.51% of all LL-cache accesses    (36.69%)
     6.006876597          6,150,622      dTLB-load-misses                                                        (36.24%)
     6.006876597            339,754      iTLB-load-misses                                                        (35.54%)
     6.006876597              5,394      minor-faults                                                          
     6.006876597                  0      major-faults                                                          
     7.008005310      1,081,452,132      cycles                                                                  (36.59%)
     7.008005310        987,197,154      instructions                     #    0.91  insn per cycle              (45.59%)
     7.008005310        201,572,713      branches                                                                (45.61%)
     7.008005310          7,675,620      branch-misses                    #    3.81% of all branches             (45.54%)
     7.008005310        234,970,719      L1-dcache-loads                                                         (45.16%)
     7.008005310         47,622,350      L1-dcache-load-misses            #   20.27% of all L1-dcache accesses   (18.06%)
     7.008005310    <not supported>      L1-icache-loads                                                       
     7.008005310         11,071,937      L1-icache-load-misses                                                   (18.09%)
     7.008005310         13,223,209      LLC-loads                                                               (27.13%)
     7.008005310          1,687,749      LLC-load-misses                  #   12.76% of all LL-cache accesses    (36.16%)
     7.008005310          9,353,287      dTLB-load-misses                                                        (36.40%)
     7.008005310            271,741      iTLB-load-misses                                                        (36.55%)
     7.008005310              5,627      minor-faults                                                          
     7.008005310                  0      major-faults                                                          
     8.009270320      1,658,727,216      cycles                                                                  (36.26%)
     8.009270320      1,332,459,895      instructions                     #    0.80  insn per cycle              (45.14%)
     8.009270320        275,508,741      branches                                                                (44.85%)
     8.009270320         12,691,885      branch-misses                    #    4.61% of all branches             (44.20%)
