# started on Fri Apr  3 18:23:27 2026

#           time             counts   unit events
     1.001066239              83.71 Joules power/energy-pkg/                                                     
     2.001956163              95.22 Joules power/energy-pkg/                                                     
     3.003276917              97.59 Joules power/energy-pkg/                                                     
     4.004564329              89.58 Joules power/energy-pkg/                                                     
     5.005844532              89.93 Joules power/energy-pkg/                                                     
     6.007148947              90.52 Joules power/energy-pkg/                                                     
     7.008493300              90.83 Joules power/energy-pkg/                                                     
     8.009789299              88.88 Joules power/energy-pkg/                                                     
     9.011094409              90.11 Joules power/energy-pkg/                                                     
    10.015183526              92.03 Joules power/energy-pkg/                                                     
    11.016457335              87.14 Joules power/energy-pkg/                                                     
    12.017733984              92.33 Joules power/energy-pkg/                                                     
    13.019047172              91.82 Joules power/energy-pkg/                                                     
    14.020305594              91.49 Joules power/energy-pkg/                                                     
    15.021575991              91.79 Joules power/energy-pkg/                                                     
    16.022828016              88.92 Joules power/energy-pkg/                                                     
    17.024129177              94.38 Joules power/energy-pkg/                                                     
    18.025383274              92.87 Joules power/energy-pkg/                                                     
    19.025961095              95.90 Joules power/energy-pkg/                                                     
    20.028006036              95.73 Joules power/energy-pkg/                                                     
    21.028985332              91.20 Joules power/energy-pkg/                                                     
    22.030010422              96.81 Joules power/energy-pkg/                                                     
    23.033978551              95.38 Joules power/energy-pkg/                                                     
    24.035002177              97.74 Joules power/energy-pkg/                                                     
    25.036012642              98.44 Joules power/energy-pkg/                                                     
    26.036981919              91.93 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.039978328              97.30 Joules power/energy-pkg/                                                     
    28.040989385              98.03 Joules power/energy-pkg/                                                     
    29.041994059              98.11 Joules power/energy-pkg/                                                     
    30.042992741              93.77 Joules power/energy-pkg/                                                     
    31.043995185              90.64 Joules power/energy-pkg/                                                     
    32.044995726              96.28 Joules power/energy-pkg/                                                     
    33.046007145              97.27 Joules power/energy-pkg/                                                     
    34.047000181              91.45 Joules power/energy-pkg/                                                     
    35.047990731              94.67 Joules power/energy-pkg/                                                     
    36.048958994              88.85 Joules power/energy-pkg/                                                     
    37.049972852              94.97 Joules power/energy-pkg/                                                     
    38.050996870              96.75 Joules power/energy-pkg/                                                     
    39.051992012              96.27 Joules power/energy-pkg/                                                     
    40.052994071              93.87 Joules power/energy-pkg/                                                     
    41.056010257              90.82 Joules power/energy-pkg/                                                     
    42.057007944              99.27 Joules power/energy-pkg/                                                     
    43.058007485              95.92 Joules power/energy-pkg/                                                     
    44.058976085              95.68 Joules power/energy-pkg/                                                     
    45.060003856              95.46 Joules power/energy-pkg/                                                     
    46.061010952              90.03 Joules power/energy-pkg/                                                     
    47.061994334              93.58 Joules power/energy-pkg/                                                     
    48.062995859              87.79 Joules power/energy-pkg/                                                     
