# started on Fri Apr  3 17:25:53 2026

#           time             counts   unit events
     1.001032951             101.97 Joules power/energy-pkg/                                                     
     2.010619902             109.73 Joules power/energy-pkg/                                                     
     3.012798477             123.56 Joules power/energy-pkg/                                                     
     4.019594353             122.71 Joules power/energy-pkg/                                                     
     5.020878850              92.45 Joules power/energy-pkg/                                                     
     6.022103885              87.88 Joules power/energy-pkg/                                                     
     7.023324748              88.78 Joules power/energy-pkg/                                                     
     8.023603190              86.42 Joules power/energy-pkg/                                                     
     9.024597937              84.33 Joules power/energy-pkg/                                                     
    10.025589222              90.94 Joules power/energy-pkg/                                                     
    11.026596579              89.14 Joules power/energy-pkg/                                                     
    12.027002769              85.06 Joules power/energy-pkg/                                                     
    13.028380830              84.15 Joules power/energy-pkg/                                                     
    14.029645090              85.25 Joules power/energy-pkg/                                                     
    15.030628609              91.73 Joules power/energy-pkg/                                                     
    16.033627496              90.02 Joules power/energy-pkg/                                                     
    17.034657863              90.05 Joules power/energy-pkg/                                                     
    18.035984024              87.38 Joules power/energy-pkg/                                                     
    19.036629478              85.29 Joules power/energy-pkg/                                                     
    20.039647842              93.57 Joules power/energy-pkg/                                                     
    21.041631982              91.34 Joules power/energy-pkg/                                                     
    22.042639000              88.45 Joules power/energy-pkg/                                                     
    23.044766849              83.39 Joules power/energy-pkg/                                                     
    24.046145700              80.38 Joules power/energy-pkg/                                                     
    25.047491248              87.84 Joules power/energy-pkg/                                                     
    26.048799191              89.09 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.049616176              89.89 Joules power/energy-pkg/                                                     
    28.052646318              85.21 Joules power/energy-pkg/                                                     
    29.053669593              84.27 Joules power/energy-pkg/                                                     
    30.055058739              91.37 Joules power/energy-pkg/                                                     
    31.056997713              88.12 Joules power/energy-pkg/                                                     
    32.057623947              95.33 Joules power/energy-pkg/                                                     
    33.059068253              99.75 Joules power/energy-pkg/                                                     
    34.059960832              84.51 Joules power/energy-pkg/                                                     
    35.061235615              88.29 Joules power/energy-pkg/                                                     
    36.063841646              88.34 Joules power/energy-pkg/                                                     
    37.064966681              90.90 Joules power/energy-pkg/                                                     
    38.068889178              87.28 Joules power/energy-pkg/                                                     
    39.070145482              79.21 Joules power/energy-pkg/                                                     
    40.071386011              87.09 Joules power/energy-pkg/                                                     
    41.072669857              86.90 Joules power/energy-pkg/                                                     
    42.073641904              89.92 Joules power/energy-pkg/                                                     
    43.077712728              87.30 Joules power/energy-pkg/                                                     
    44.078629861              89.89 Joules power/energy-pkg/                                                     
    45.079634802             102.01 Joules power/energy-pkg/                                                     
    46.080634150             105.34 Joules power/energy-pkg/                                                     
    47.081645690             102.58 Joules power/energy-pkg/                                                     
    48.082981161              96.09 Joules power/energy-pkg/                                                     
    49.083645048             100.04 Joules power/energy-pkg/                                                     
    50.084615780             103.38 Joules power/energy-pkg/                                                     
    51.085640814             103.74 Joules power/energy-pkg/                                                     
    52.086643370             101.46 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    53.087609239              99.14 Joules power/energy-pkg/                                                     
    54.088621186              98.00 Joules power/energy-pkg/                                                     
