# started on Fri Apr  3 22:58:49 2026

#           time             counts   unit events
     1.001080871              55.66 Joules power/energy-pkg/                                                     
     2.002928363              64.98 Joules power/energy-pkg/                                                     
     3.005857796              59.21 Joules power/energy-pkg/                                                     
     4.009832650              53.86 Joules power/energy-pkg/                                                     
     5.012815606              53.85 Joules power/energy-pkg/                                                     
     6.015794530              53.84 Joules power/energy-pkg/                                                     
     7.018722897              53.78 Joules power/energy-pkg/                                                     
     8.020763205              54.28 Joules power/energy-pkg/                                                     
     9.021995628              54.15 Joules power/energy-pkg/                                                     
    10.023250808              54.43 Joules power/energy-pkg/                                                     
    11.024505031              55.27 Joules power/energy-pkg/                                                     
    12.025768631              54.75 Joules power/energy-pkg/                                                     
    13.026997004              55.31 Joules power/energy-pkg/                                                     
    14.028245151              48.94 Joules power/energy-pkg/                                                     
    15.029485876              55.24 Joules power/energy-pkg/                                                     
    16.030747158              55.43 Joules power/energy-pkg/                                                     
    17.031979250              55.26 Joules power/energy-pkg/                                                     
    18.033225870              55.24 Joules power/energy-pkg/                                                     
    19.034505077              57.88 Joules power/energy-pkg/                                                     
    20.035820596              57.57 Joules power/energy-pkg/                                                     
    21.039805785              56.34 Joules power/energy-pkg/                                                     
    22.042807803              55.87 Joules power/energy-pkg/                                                     
    23.044782364              55.50 Joules power/energy-pkg/                                                     
    24.048038492              55.33 Joules power/energy-pkg/                                                     
    25.051815684              60.76 Joules power/energy-pkg/                                                     
    26.053133906              55.26 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.054375789              55.31 Joules power/energy-pkg/                                                     
    28.055672055              54.00 Joules power/energy-pkg/                                                     
    29.056915416              50.44 Joules power/energy-pkg/                                                     
    30.058171978              53.83 Joules power/energy-pkg/                                                     
    31.059417048              55.75 Joules power/energy-pkg/                                                     
    32.060684444              55.07 Joules power/energy-pkg/                                                     
    33.061913910              53.85 Joules power/energy-pkg/                                                     
    34.063153191              53.91 Joules power/energy-pkg/                                                     
    35.064392443              54.97 Joules power/energy-pkg/                                                     
    36.065716444              56.16 Joules power/energy-pkg/                                                     
    37.066961507              55.60 Joules power/energy-pkg/                                                     
    38.068200157              55.41 Joules power/energy-pkg/                                                     
    39.069434869              50.36 Joules power/energy-pkg/                                                     
    40.070601220              55.47 Joules power/energy-pkg/                                                     
    41.072773860              55.12 Joules power/energy-pkg/                                                     
    42.074757272              55.05 Joules power/energy-pkg/                                                     
    43.076605733              55.06 Joules power/energy-pkg/                                                     
    44.078756286              54.61 Joules power/energy-pkg/                                                     
    45.079989301              53.87 Joules power/energy-pkg/                                                     
    46.081098648              53.91 Joules power/energy-pkg/                                                     
    47.081831704              55.83 Joules power/energy-pkg/                                                     
    48.082586782              55.11 Joules power/energy-pkg/                                                     
    49.083808911              55.86 Joules power/energy-pkg/                                                     
    50.085034977              55.03 Joules power/energy-pkg/                                                     
    51.085391836              54.85 Joules power/energy-pkg/                                                     
    52.086597217              55.08 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    53.087813509              55.07 Joules power/energy-pkg/                                                     
    54.088594580              54.53 Joules power/energy-pkg/                                                     
    55.089811477              54.86 Joules power/energy-pkg/                                                     
    56.091032072              55.78 Joules power/energy-pkg/                                                     
    57.091600884              55.28 Joules power/energy-pkg/                                                     
    58.092816115              55.31 Joules power/energy-pkg/                                                     
    59.094041513              51.09 Joules power/energy-pkg/                                                     
    60.095279738              55.13 Joules power/energy-pkg/                                                     
    61.096520139              55.10 Joules power/energy-pkg/                                                     
    62.097754242              55.06 Joules power/energy-pkg/                                                     
    63.098969628              56.06 Joules power/energy-pkg/                                                     
    64.101588458              55.38 Joules power/energy-pkg/                                                     
    65.105768971              55.28 Joules power/energy-pkg/                                                     
    66.109750189              55.22 Joules power/energy-pkg/                                                     
    67.113787717              55.26 Joules power/energy-pkg/                                                     
    68.116696028              55.19 Joules power/energy-pkg/                                                     
    69.119612444              55.49 Joules power/energy-pkg/                                                     
    70.123609879              55.26 Joules power/energy-pkg/                                                     
    71.126604602              55.84 Joules power/energy-pkg/                                                     
    72.130802618              54.58 Joules power/energy-pkg/                                                     
    73.133846718              54.31 Joules power/energy-pkg/                                                     
    74.135605505              55.08 Joules power/energy-pkg/                                                     
    75.137747963              55.43 Joules power/energy-pkg/                                                     
    76.138583763              55.89 Joules power/energy-pkg/                                                     
    77.139795358              55.00 Joules power/energy-pkg/                                                     
    78.141003063              55.77 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    79.142242247              56.18 Joules power/energy-pkg/                                                     
    80.143476878              55.97 Joules power/energy-pkg/                                                     
    81.144744280              56.03 Joules power/energy-pkg/                                                     
    82.145967511              56.07 Joules power/energy-pkg/                                                     
    83.147210802              56.03 Joules power/energy-pkg/                                                     
    84.148455977              55.97 Joules power/energy-pkg/                                                     
    85.149731374              56.19 Joules power/energy-pkg/                                                     
    86.150953107              56.16 Joules power/energy-pkg/                                                     
