# started on Sun Mar  1 09:34:51 2026

#           time             counts unit events
     1.000544060      3,856,654,216      cycles                                                                
     1.000544060      6,641,202,239      instructions                     #    1.72  insn per cycle            
     1.000544060        276,778,089      cache-references                                                      
     1.000544060         28,536,883      cache-misses                     #   10.31% of all cache refs         
     1.000544060        123,743,308      L1-dcache-load-misses                                                 
     1.000544060    <not supported>      LLC-load-misses                                                       
     2.001643986        462,715,973      cycles                                                                
     2.001643986        756,216,396      instructions                     #    1.63  insn per cycle            
     2.001643986         29,479,451      cache-references                                                      
     2.001643986          1,964,388      cache-misses                     #    6.66% of all cache refs         
     2.001643986         16,083,984      L1-dcache-load-misses                                                 
     2.001643986    <not supported>      LLC-load-misses                                                       
     3.002529864            156,570      cycles                                                                
     3.002529864             58,144      instructions                     #    0.37  insn per cycle            
     3.002529864              8,037      cache-references                                                      
     3.002529864              2,664      cache-misses                     #   33.15% of all cache refs         
     3.002529864              2,349      L1-dcache-load-misses                                                 
     3.002529864    <not supported>      LLC-load-misses                                                       
     4.003205513            137,392      cycles                                                                
     4.003205513             44,883      instructions                     #    0.33  insn per cycle            
     4.003205513              6,742      cache-references                                                      
     4.003205513              1,993      cache-misses                     #   29.56% of all cache refs         
     4.003205513              1,574      L1-dcache-load-misses                                                 
     4.003205513    <not supported>      LLC-load-misses                                                       
     5.003532774            143,041      cycles                                                                
     5.003532774             44,735      instructions                     #    0.31  insn per cycle            
     5.003532774              6,650      cache-references                                                      
     5.003532774              1,781      cache-misses                     #   26.78% of all cache refs         
     5.003532774              1,943      L1-dcache-load-misses                                                 
     5.003532774    <not supported>      LLC-load-misses                                                       
     6.004618301            149,364      cycles                                                                
     6.004618301             50,467      instructions                     #    0.34  insn per cycle            
     6.004618301              6,860      cache-references                                                      
     6.004618301              2,408      cache-misses                     #   35.10% of all cache refs         
     6.004618301              1,866      L1-dcache-load-misses                                                 
     6.004618301    <not supported>      LLC-load-misses                                                       
     7.005717698            181,140      cycles                                                                
     7.005717698             45,287      instructions                     #    0.25  insn per cycle            
     7.005717698              7,763      cache-references                                                      
     7.005717698              3,138      cache-misses                     #   40.42% of all cache refs         
     7.005717698              2,236      L1-dcache-load-misses                                                 
     7.005717698    <not supported>      LLC-load-misses                                                       
     8.006802344            175,427      cycles                                                                
     8.006802344             44,076      instructions                     #    0.25  insn per cycle            
     8.006802344              7,495      cache-references                                                      
     8.006802344              3,100      cache-misses                     #   41.36% of all cache refs         
     8.006802344              2,205      L1-dcache-load-misses                                                 
     8.006802344    <not supported>      LLC-load-misses                                                       
     9.007861591            173,174      cycles                                                                
     9.007861591             57,448      instructions                     #    0.33  insn per cycle            
     9.007861591              8,043      cache-references                                                      
     9.007861591              2,770      cache-misses                     #   34.44% of all cache refs         
     9.007861591              2,397      L1-dcache-load-misses                                                 
     9.007861591    <not supported>      LLC-load-misses                                                       
    10.008538220            175,811      cycles                                                                
    10.008538220             58,052      instructions                     #    0.33  insn per cycle            
    10.008538220              8,389      cache-references                                                      
    10.008538220              3,213      cache-misses                     #   38.30% of all cache refs         
    10.008538220              2,978      L1-dcache-load-misses                                                 
    10.008538220    <not supported>      LLC-load-misses                                                       
    11.009615857            105,841      cycles                                                                
    11.009615857             24,804      instructions                     #    0.23  insn per cycle            
    11.009615857              4,858      cache-references                                                      
    11.009615857              1,820      cache-misses                     #   37.46% of all cache refs         
    11.009615857                897      L1-dcache-load-misses                                                 
    11.009615857    <not supported>      LLC-load-misses                                                       
    12.010696734            108,575      cycles                                                                
    12.010696734             24,711      instructions                     #    0.23  insn per cycle            
    12.010696734              4,695      cache-references                                                      
    12.010696734              1,918      cache-misses                     #   40.85% of all cache refs         
    12.010696734                869      L1-dcache-load-misses                                                 
    12.010696734    <not supported>      LLC-load-misses                                                       
    13.011769741            136,737      cycles                                                                
    13.011769741             44,949      instructions                     #    0.33  insn per cycle            
    13.011769741              6,691      cache-references                                                      
    13.011769741              2,362      cache-misses                     #   35.30% of all cache refs         
    13.011769741              1,683      L1-dcache-load-misses                                                 
    13.011769741    <not supported>      LLC-load-misses                                                       
    14.012836837            133,647      cycles                                                                
    14.012836837             46,663      instructions                     #    0.35  insn per cycle            
    14.012836837              6,967      cache-references                                                      
    14.012836837              2,241      cache-misses                     #   32.17% of all cache refs         
    14.012836837              1,810      L1-dcache-load-misses                                                 
    14.012836837    <not supported>      LLC-load-misses                                                       
    15.013528486            139,220      cycles                                                                
    15.013528486             61,426      instructions                     #    0.44  insn per cycle            
    15.013528486              8,022      cache-references                                                      
    15.013528486              1,897      cache-misses                     #   23.65% of all cache refs         
    15.013528486              2,360      L1-dcache-load-misses                                                 
    15.013528486    <not supported>      LLC-load-misses                                                       
    16.014587373            132,343      cycles                                                                
    16.014587373             59,823      instructions                     #    0.45  insn per cycle            
    16.014587373              8,177      cache-references                                                      
    16.014587373              2,008      cache-misses                     #   24.56% of all cache refs         
    16.014587373              2,336      L1-dcache-load-misses                                                 
    16.014587373    <not supported>      LLC-load-misses                                                       
    17.015644470            156,822      cycles                                                                
    17.015644470             42,215      instructions                     #    0.27  insn per cycle            
    17.015644470              8,444      cache-references                                                      
    17.015644470              3,064      cache-misses                     #   36.29% of all cache refs         
    17.015644470              1,915      L1-dcache-load-misses                                                 
    17.015644470    <not supported>      LLC-load-misses                                                       
    18.016532778            130,299      cycles                                                                
    18.016532778             48,920      instructions                     #    0.38  insn per cycle            
    18.016532778              7,103      cache-references                                                      
    18.016532778              2,284      cache-misses                     #   32.16% of all cache refs         
    18.016532778              1,865      L1-dcache-load-misses                                                 
    18.016532778    <not supported>      LLC-load-misses                                                       
    19.017589675            132,124      cycles                                                                
    19.017589675             44,935      instructions                     #    0.34  insn per cycle            
    19.017589675              6,368      cache-references                                                      
    19.017589675              2,038      cache-misses                     #   32.00% of all cache refs         
    19.017589675              1,588      L1-dcache-load-misses                                                 
    19.017589675    <not supported>      LLC-load-misses                                                       
    20.018660392            210,428      cycles                                                                
    20.018660392             81,274      instructions                     #    0.39  insn per cycle            
    20.018660392             12,120      cache-references                                                      
    20.018660392              2,800      cache-misses                     #   23.10% of all cache refs         
    20.018660392              4,767      L1-dcache-load-misses                                                 
    20.018660392    <not supported>      LLC-load-misses                                                       
    21.019531850            130,815      cycles                                                                
    21.019531850             44,802      instructions                     #    0.34  insn per cycle            
    21.019531850              6,538      cache-references                                                      
    21.019531850              2,245      cache-misses                     #   34.34% of all cache refs         
    21.019531850              1,653      L1-dcache-load-misses                                                 
    21.019531850    <not supported>      LLC-load-misses                                                       
    22.020596347            179,205      cycles                                                                
    22.020596347             57,737      instructions                     #    0.32  insn per cycle            
    22.020596347              8,041      cache-references                                                      
    22.020596347              2,984      cache-misses                     #   37.11% of all cache refs         
    22.020596347              2,896      L1-dcache-load-misses                                                 
    22.020596347    <not supported>      LLC-load-misses                                                       
    23.021657724            133,260      cycles                                                                
    23.021657724             57,182      instructions                     #    0.43  insn per cycle            
    23.021657724              7,980      cache-references                                                      
    23.021657724              2,114      cache-misses                     #   26.49% of all cache refs         
    23.021657724              2,224      L1-dcache-load-misses                                                 
    23.021657724    <not supported>      LLC-load-misses                                                       
    24.021793605            169,030      cycles                                                                
    24.021793605             57,821      instructions                     #    0.34  insn per cycle            
    24.021793605              8,247      cache-references                                                      
    24.021793605              2,300      cache-misses                     #   27.89% of all cache refs         
    24.021793605              2,372      L1-dcache-load-misses                                                 
    24.021793605    <not supported>      LLC-load-misses                                                       
    25.022272175            133,543      cycles                                                                
    25.022272175             48,492      instructions                     #    0.36  insn per cycle            
    25.022272175              7,663      cache-references                                                      
    25.022272175              1,997      cache-misses                     #   26.06% of all cache refs         
    25.022272175              1,864      L1-dcache-load-misses                                                 
    25.022272175    <not supported>      LLC-load-misses                                                       
    26.023344722            175,586      cycles                                                                
    26.023344722             57,790      instructions                     #    0.33  insn per cycle            
    26.023344722              8,590      cache-references                                                      
    26.023344722              2,857      cache-misses                     #   33.26% of all cache refs         
    26.023344722              2,832      L1-dcache-load-misses                                                 
    26.023344722    <not supported>      LLC-load-misses                                                       
#           time             counts unit events
    27.024405729            183,672      cycles                                                                
    27.024405729             57,380      instructions                     #    0.31  insn per cycle            
    27.024405729              8,182      cache-references                                                      
    27.024405729              3,022      cache-misses                     #   36.93% of all cache refs         
    27.024405729              2,475      L1-dcache-load-misses                                                 
    27.024405729    <not supported>      LLC-load-misses                                                       
    28.025461546            197,579      cycles                                                                
    28.025461546             57,934      instructions                     #    0.29  insn per cycle            
    28.025461546              9,296      cache-references                                                      
    28.025461546              2,385      cache-misses                     #   25.66% of all cache refs         
