# started on Sat Mar  7 15:17:47 2026

#           time             counts unit events
     1.000829302      4,428,620,138      cycles                                                                
     1.000829302      6,976,578,943      instructions                     #    1.58  insn per cycle            
     1.000829302        295,785,657      cache-references                                                      
     1.000829302         30,751,408      cache-misses                     #   10.40% of all cache refs         
     1.000829302        135,606,073      L1-dcache-load-misses                                                 
     1.000829302    <not supported>      LLC-load-misses                                                       
     2.002099620        266,568,292      cycles                                                                
     2.002099620        428,268,920      instructions                     #    1.61  insn per cycle            
     2.002099620         15,810,776      cache-references                                                      
     2.002099620          1,193,080      cache-misses                     #    7.55% of all cache refs         
     2.002099620          8,426,561      L1-dcache-load-misses                                                 
     2.002099620    <not supported>      LLC-load-misses                                                       
     3.003163770            260,961      cycles                                                                
     3.003163770            155,955      instructions                     #    0.60  insn per cycle            
     3.003163770             18,310      cache-references                                                      
     3.003163770              2,960      cache-misses                     #   16.17% of all cache refs         
     3.003163770              8,175      L1-dcache-load-misses                                                 
     3.003163770    <not supported>      LLC-load-misses                                                       
     4.004226909            249,841      cycles                                                                
     4.004226909            122,134      instructions                     #    0.49  insn per cycle            
     4.004226909             16,796      cache-references                                                      
     4.004226909              3,447      cache-misses                     #   20.52% of all cache refs         
     4.004226909              6,698      L1-dcache-load-misses                                                 
     4.004226909    <not supported>      LLC-load-misses                                                       
     5.005287199            269,906      cycles                                                                
     5.005287199            123,976      instructions                     #    0.46  insn per cycle            
     5.005287199             16,289      cache-references                                                      
     5.005287199              3,992      cache-misses                     #   24.51% of all cache refs         
     5.005287199              7,036      L1-dcache-load-misses                                                 
     5.005287199    <not supported>      LLC-load-misses                                                       
     6.006370949            234,807      cycles                                                                
     6.006370949             78,628      instructions                     #    0.33  insn per cycle            
     6.006370949             10,798      cache-references                                                      
     6.006370949              3,157      cache-misses                     #   29.24% of all cache refs         
     6.006370949              3,945      L1-dcache-load-misses                                                 
     6.006370949    <not supported>      LLC-load-misses                                                       
     7.007230960            186,829      cycles                                                                
     7.007230960             71,056      instructions                     #    0.38  insn per cycle            
     7.007230960              9,699      cache-references                                                      
     7.007230960              2,264      cache-misses                     #   23.34% of all cache refs         
     7.007230960              3,971      L1-dcache-load-misses                                                 
     7.007230960    <not supported>      LLC-load-misses                                                       
     8.008288940            174,184      cycles                                                                
     8.008288940             49,570      instructions                     #    0.28  insn per cycle            
     8.008288940              8,365      cache-references                                                      
     8.008288940              2,907      cache-misses                     #   34.75% of all cache refs         
     8.008288940              2,586      L1-dcache-load-misses                                                 
     8.008288940    <not supported>      LLC-load-misses                                                       
     9.009365249            262,604      cycles                                                                
     9.009365249            104,030      instructions                     #    0.40  insn per cycle            
     9.009365249             12,486      cache-references                                                      
     9.009365249              2,905      cache-misses                     #   23.27% of all cache refs         
     9.009365249              4,660      L1-dcache-load-misses                                                 
     9.009365249    <not supported>      LLC-load-misses                                                       
    10.010426419            239,855      cycles                                                                
    10.010426419            106,801      instructions                     #    0.45  insn per cycle            
    10.010426419             12,547      cache-references                                                      
    10.010426419              3,629      cache-misses                     #   28.92% of all cache refs         
    10.010426419              4,999      L1-dcache-load-misses                                                 
    10.010426419    <not supported>      LLC-load-misses                                                       
    11.010526005            235,911      cycles                                                                
    11.010526005             86,280      instructions                     #    0.37  insn per cycle            
    11.010526005             10,640      cache-references                                                      
    11.010526005              3,540      cache-misses                     #   33.27% of all cache refs         
    11.010526005              3,848      L1-dcache-load-misses                                                 
    11.010526005    <not supported>      LLC-load-misses                                                       
    12.011601905            185,185      cycles                                                                
    12.011601905             65,186      instructions                     #    0.35  insn per cycle            
    12.011601905              8,095      cache-references                                                      
    12.011601905              3,131      cache-misses                     #   38.68% of all cache refs         
    12.011601905              2,691      L1-dcache-load-misses                                                 
    12.011601905    <not supported>      LLC-load-misses                                                       
    13.012698715            193,831      cycles                                                                
    13.012698715            110,816      instructions                     #    0.57  insn per cycle            
    13.012698715             13,768      cache-references                                                      
    13.012698715              2,744      cache-misses                     #   19.93% of all cache refs         
    13.012698715              5,006      L1-dcache-load-misses                                                 
    13.012698715    <not supported>      LLC-load-misses                                                       
    14.014021653            132,976      cycles                                                                
    14.014021653             50,503      instructions                     #    0.38  insn per cycle            
    14.014021653              7,330      cache-references                                                      
    14.014021653              2,474      cache-misses                     #   33.75% of all cache refs         
    14.014021653              1,805      L1-dcache-load-misses                                                 
    14.014021653    <not supported>      LLC-load-misses                                                       
    15.015108442            164,007      cycles                                                                
    15.015108442             62,132      instructions                     #    0.38  insn per cycle            
    15.015108442              8,572      cache-references                                                      
    15.015108442              2,292      cache-misses                     #   26.74% of all cache refs         
    15.015108442              2,382      L1-dcache-load-misses                                                 
    15.015108442    <not supported>      LLC-load-misses                                                       
    16.016050533            142,897      cycles                                                                
    16.016050533             61,026      instructions                     #    0.43  insn per cycle            
    16.016050533              8,587      cache-references                                                      
    16.016050533              2,307      cache-misses                     #   26.87% of all cache refs         
    16.016050533              2,378      L1-dcache-load-misses                                                 
